LUTs-----------------------------------------
bd_gen_0	page_X0Y3	141
bc2_gen_0	page_X0Y4	185
bc1_gen_0	page_X0Y5	185
bc0_gen_0	page_X0Y6	283
switchbox	page_X1Y3	268
bc2_gen_1	page_X1Y4	284
bc1_gen_1	page_X1Y5	252
bc1_gen_2	page_X1Y6	461
bd_gen_7	page_X2Y0	221
bd_gen_8	page_X2Y1	226
switchbox	page_X2Y2	70
fp_conv	page_X2Y3	2344
bin_conv_2	page_X2Y4	7426
bin_conv_1	page_X2Y5	6510
bin_conv_0	page_X2Y6	8770
bd_gen_6	page_X3Y0	305
bd_gen_5	page_X3Y1	215
bd_gen_4	page_X3Y2	292
bin_dense_wrapper	page_X3Y3	1511
bd_gen_3	page_X3Y4	398
bd_gen_2	page_X3Y5	300
bd_gen_1	page_X3Y6	295
FFs-----------------------------------------
bd_gen_0	page_X0Y3	54
bc2_gen_0	page_X0Y4	170
bc1_gen_0	page_X0Y5	170
bc0_gen_0	page_X0Y6	196
switchbox	page_X1Y3	516
bc2_gen_1	page_X1Y4	207
bc1_gen_1	page_X1Y5	311
bc1_gen_2	page_X1Y6	485
bd_gen_7	page_X2Y0	200
bd_gen_8	page_X2Y1	221
switchbox	page_X2Y2	130
fp_conv	page_X2Y3	2324
bin_conv_2	page_X2Y4	2552
bin_conv_1	page_X2Y5	3526
bin_conv_0	page_X2Y6	4870
bd_gen_6	page_X3Y0	218
bd_gen_5	page_X3Y1	201
bd_gen_4	page_X3Y2	330
bin_dense_wrapper	page_X3Y3	1017
bd_gen_3	page_X3Y4	362
bd_gen_2	page_X3Y5	215
bd_gen_1	page_X3Y6	217
BRAMs-----------------------------------------
bd_gen_0	page_X0Y3	81
bc2_gen_0	page_X0Y4	78
bc1_gen_0	page_X0Y5	79
bc0_gen_0	page_X0Y6	50
switchbox	page_X1Y3	0
bc2_gen_1	page_X1Y4	38
bc1_gen_1	page_X1Y5	34
bc1_gen_2	page_X1Y6	25
bd_gen_7	page_X2Y0	68
bd_gen_8	page_X2Y1	66
switchbox	page_X2Y2	0
fp_conv	page_X2Y3	29
bin_conv_2	page_X2Y4	44
bin_conv_1	page_X2Y5	44
bin_conv_0	page_X2Y6	44
bd_gen_6	page_X3Y0	85
bd_gen_5	page_X3Y1	74
bd_gen_4	page_X3Y2	70
bin_dense_wrapper	page_X3Y3	40
bd_gen_3	page_X3Y4	87
bd_gen_2	page_X3Y5	76
bd_gen_1	page_X3Y6	89
DSPs-----------------------------------------
bd_gen_0	page_X0Y3	0
bc2_gen_0	page_X0Y4	0
bc1_gen_0	page_X0Y5	0
bc0_gen_0	page_X0Y6	0
switchbox	page_X1Y3	0
bc2_gen_1	page_X1Y4	0
bc1_gen_1	page_X1Y5	0
bc1_gen_2	page_X1Y6	0
bd_gen_7	page_X2Y0	0
bd_gen_8	page_X2Y1	0
switchbox	page_X2Y2	0
fp_conv	page_X2Y3	0
bin_conv_2	page_X2Y4	0
bin_conv_1	page_X2Y5	0
bin_conv_0	page_X2Y6	2
bd_gen_6	page_X3Y0	0
bd_gen_5	page_X3Y1	0
bd_gen_4	page_X3Y2	0
bin_dense_wrapper	page_X3Y3	2
bd_gen_3	page_X3Y4	0
bd_gen_2	page_X3Y5	0
bd_gen_1	page_X3Y6	0
